score,expected_direction,HR,CI_low,CI_high,p_value,C_index,direction_match,95% CI
AUC_X,HR < 1,0.8564369272488067,0.7558575570284218,0.9704000489708635,0.015042144276061114,0.5331454869916409,✓,"[0.756, 0.97]"
X_peak,HR < 1,0.8549268528107544,0.7530995918518416,0.9705222676587142,0.015418857835738957,0.5323001784540246,✓,"[0.753, 0.971]"
T_repair,HR > 1,0.8564991788670077,0.7560781839216434,0.9702579164430495,0.014912654199044313,0.5279515356438433,✗ unexpected,"[0.756, 0.97]"
D_resid,HR > 1,1.0166646171309697,0.8937711085077723,1.1564559806053216,0.8014790294711263,0.48208885131962054,✓,"[0.894, 1.16]"
