gene,cox_lasso_coef,rsf_importance_mean,rsf_importance_std
BRCA1,0.06190641627798608,0.01542218465295389,0.0034006777397119345
BRCA2,0.14128118911097293,0.03235747158824083,0.005264480359080767
RAD51,0.10151390357431282,0.022528411759180987,0.002868193429485353
PALB2,-0.07126737629401955,0.024428477505400593,0.006241341274869353
BRIP1,-0.12990853026366636,0.014150464919695687,0.00527995635552112
ATM,-0.011670756207415839,0.015836385836385865,0.001502471030037468
ATR,0.06412539551968188,0.014556213017751497,0.002312623452967637
CHEK1,-0.12070776823582723,0.01590588898281207,0.006546095650282173
CHEK2,-0.1952938412380619,0.024351460505306684,0.008687598379515653
BCL2,-0.02943698820916302,0.007556119094580632,0.0024173413944787708
BCL2L1,0.03317993576012228,0.020868789330327802,0.003265715403492977
BAX,-0.053881240519318356,0.005543345543345568,0.0025426714558058707
BAD,0.02031135147031419,0.009661876584953521,0.002739127374870817
TP53,-0.06856275241666415,0.019545411853104176,0.0023302526078258523
