score,best_cutoff,best_logrank_p,km_logrank_p
AUC_X,98.99661751854278,0.007704932595616202,0.007704932595616202
X_peak,4.16653399638561,0.0060820428006910674,0.0060820428006910674
T_repair,22.5,0.17073136571558303,0.17073136571558303
D_resid,6.283618019321352e-09,0.006637560301569147,0.006637560301569147
