cutpoint,p_value,neglog10p
4.777392150989955e-09,0.5020977718151458,0.299211705912118
4.913324017700235e-09,0.5432191913074506,0.265024895333414
4.913421630490153e-09,0.3430995719009028,0.46457982383013274
4.9658151721798715e-09,0.3457726392672016,0.46120937510314325
5.012047452126326e-09,0.36107975234392065,0.4423968640845267
5.067105556025867e-09,0.37812860092250233,0.42236047219300654
5.073894428337731e-09,0.6451441972618939,0.190343204626719
5.085739900507885e-09,0.6701284387685084,0.1738419511759174
5.106316272065678e-09,0.49703945560923024,0.30360913506296966
5.1091446338974705e-09,0.5155894588920744,0.2876959702786858
5.110204166643682e-09,0.823075601499095,0.08456027194942584
5.1273901392510175e-09,0.8711447682701852,0.05990966722366234
5.1326035327807315e-09,0.84699011801691,0.07212165663005116
5.147865858188066e-09,0.9181459519563745,0.03708827621601256
5.151346901946302e-09,0.7830497666722922,0.10621063550996737
5.202957605955511e-09,0.9136426771607901,0.03922362229596553
5.240420104303481e-09,0.6102890486970032,0.21446442315029474
5.245912131526452e-09,0.7625456011404318,0.11773417987431087
5.270533287582149e-09,0.8461265737310848,0.07256466513922279
5.2747235111260495e-09,0.9501645041815729,0.02220119779180298
5.293430095997842e-09,0.9152593897683091,0.0384558069384882
5.3059406088103005e-09,0.7346039028394376,0.13394676864369418
5.377463163533501e-09,0.5782935481181803,0.23785165298830027
5.386952943329648e-09,0.5043799301489887,0.2972422028264714
5.3894420665438685e-09,0.5123237293144802,0.2904555284264618
5.393370979145354e-09,0.5225293912373327,0.28188927633040956
5.446860736426113e-09,0.5668878308508785,0.24650286573091731
5.454784399017378e-09,0.5799012023787712,0.23664599077597126
5.475592186633299e-09,0.5674327502200818,0.24608560186868772
5.49318294281971e-09,0.4379821728397115,0.35854356619659694
5.498591566913392e-09,0.39659095690441437,0.4016571928318958
5.525139235121249e-09,0.32773088944520923,0.48448262336165937
5.5618171851414515e-09,0.2522013307104853,0.5982526262534363
5.5636010683142135e-09,0.29085503768799814,0.5363234097024638
5.577123051311497e-09,0.22315824884227003,0.6513870552251162
5.592909823176891e-09,0.28284738403140197,0.5484478335612974
5.611379732679954e-09,0.19816896458621353,0.7029643597616236
5.631001771312195e-09,0.14804250906157307,0.8296135629827495
5.6335930552961044e-09,0.156415813541867,0.8057193421534172
