cutpoint,p_value,neglog10p
54.5,0.23915302084128168,0.6213241290031251
55.0,0.6136720222142249,0.21206367608864662
55.5,0.36101520436126544,0.4424745071493328
56.0,0.08625684934907644,1.0642064091079886
56.5,0.1488067918174481,0.8273772463336545
57.0,0.15466756792048675,0.8106007435068906
57.5,0.06423856212836292,1.1922041885685155
58.0,0.19001754991506062,0.7212062859983088
58.5,0.09074907547008676,1.0421577907577997
59.0,0.11652504459683442,0.9335807221807843
59.5,0.08546266290433223,1.0682235792623296
60.0,0.055557061987151976,1.2552607290342295
60.5,0.026539990635128418,1.5760992347162242
61.0,0.014203627628105488,1.8476007219786206
61.5,0.05307290532007407,1.275127137546045
62.0,0.1116716373922755,0.9520571159455908
62.5,0.17336468537406352,0.7610393642366672
63.0,0.31909504509080966,0.4960799394806572
63.5,0.3293698104145236,0.48231621017913917
64.0,0.49148713437394687,0.3084878461808423
64.5,0.17078743963806098,0.7675440721508947
65.0,0.07800654824034488,1.107868939036688
65.5,0.08271342492696712,1.0824239959066728
66.0,0.055687121530776366,1.2542452302267526
66.5,0.16702599832807397,0.7772159237528105
67.0,0.3698269582807384,0.43200143442660577
67.5,0.2358998373326182,0.6272723585869381
68.0,0.5295271856266486,0.27611173855070936
