PATIENT_ID,CHEK1,CHEK2,ATM,ATR,BAD,BAX,RAD51,BCL2,BCL2L1,BRCA1,BRCA2,TP53,PALB2,BRIP1
TCGA-09-2044,4.7256,3.8522,0.5048,0.8887,17.0796,39.068,5.5261,0.5246,35.3919,0.138,0.628,3.1058,3.2814,1.5784
TCGA-09-2045,1.1533,1.5525,1.4148,0.944,11.6315,13.6365,1.7289,1.5115,33.7262,0.157,0.4963,21.3351,3.0003,0.3931
TCGA-09-2048,2.8391,3.8228,2.439,0.7276,24.7509,27.135,5.8614,1.1427,41.6608,1.7885,0.9978,57.4014,1.6604,2.4162
TCGA-09-2051,4.2408,6.6592,1.4972,1.5809,7.4078,15.6701,6.599,0.8593,17.7988,2.9037,1.2975,6.8627,6.0564,1.5197
TCGA-09-2053,4.2685,4.0642,1.5516,1.2812,12.0878,12.4795,3.5063,0.9423,51.9706,1.2674,1.3131,41.8971,1.8318,1.5216
TCGA-09-2054,8.4776,5.3885,2.4729,0.8205,8.9071,12.1028,7.7973,0.5992,18.1318,1.5574,0.9608,25.3619,6.0444,1.9646
TCGA-09-2056,1.4208,3.1665,0.4647,1.1343,21.1124,42.4515,3.5369,0.3015,56.9713,1.395,0.5981,26.3837,2.276,0.4832
TCGA-10-0926,3.9581,4.9155,0.7506,0.5408,25.5312,24.6464,4.3772,0.4058,48.9567,1.2829,0.5517,54.9695,3.5473,0.618
TCGA-10-0927,2.5271,1.53,1.1863,0.6376,15.7417,15.9045,1.6347,1.4212,36.5686,0.7004,0.4693,32.3869,2.7462,1.2171
TCGA-10-0928,4.0506,3.7903,1.1257,0.8103,14.871,8.1837,3.6813,1.6235,42.3836,0.0965,0.475,84.2375,1.6107,1.0641
TCGA-10-0931,4.6405,2.7095,1.2415,1.0387,19.9424,11.3715,4.9526,1.1026,33.9759,1.5213,0.4774,6.315,2.6095,1.842
TCGA-10-0933,8.0966,3.4375,1.0162,1.1116,12.0615,26.2742,7.984,2.1401,35.1945,2.8686,2.0273,5.2161,4.4801,2.2223
TCGA-10-0934,2.8125,4.2008,0.5759,0.7055,24.7422,20.3088,6.8576,0.0289,20.6291,1.5772,0.8078,35.3648,2.5969,0.6615
TCGA-10-0936,2.5208,3.3661,1.4646,1.3189,31.7956,20.8617,3.9845,0.2391,54.3424,2.1959,0.4061,41.2133,2.8447,0.6002
TCGA-10-0937,4.4562,2.0999,0.8164,0.689,22.0343,11.9804,7.2809,0.4806,30.6436,0.1133,0.4487,44.0824,3.5643,1.593
TCGA-10-0938,7.964,7.6057,0.9791,0.8492,8.5436,12.6808,11.6675,3.8021,43.1397,2.4216,1.007,5.8513,3.9846,1.1493
TCGA-13-0714,2.4734,2.9284,3.1135,1.0784,13.2976,15.4396,4.6981,0.8073,32.208,0.8668,0.5322,25.1263,2.9697,0.3094
TCGA-13-0720,1.4855,3.4617,2.0683,1.4421,12.0011,10.5605,2.3846,0.5236,33.867,1.0055,0.3202,28.1463,1.1141,0.442
TCGA-13-0724,3.2158,5.3853,1.1096,1.1245,17.205,15.2518,5.9066,0.5968,42.2805,1.6177,0.6228,57.8582,4.1849,0.5805
TCGA-13-0725,8.0513,3.5447,1.1454,0.8761,22.4031,29.2765,5.6389,0.7057,28.4116,0.1038,1.1594,5.7202,3.6881,1.1595
TCGA-13-0726,3.0054,1.8762,1.4465,0.7272,31.2939,10.0762,2.427,0.3144,70.9379,0.5316,0.1158,18.6509,2.5486,0.4867
TCGA-13-0727,3.1481,4.2215,1.0753,1.505,25.1521,21.8489,5.5544,0.5806,98.9398,1.1236,0.6563,16.0132,1.9409,0.5577
TCGA-13-0730,3.3821,3.8455,0.9065,1.1541,13.1441,18.217,5.7654,1.6206,32.2487,1.4513,0.6986,3.6072,2.5879,1.7313
TCGA-13-0760,2.6496,7.0554,1.0199,1.5829,26.9567,23.7422,3.5564,0.4481,58.9984,0.0846,0.6565,50.6572,2.9258,1.6508
TCGA-13-0762,2.6059,4.519,1.4028,1.1456,19.5903,9.8869,1.275,0.8348,51.9191,0.5153,0.597,40.4235,4.2772,0.2323
TCGA-13-0765,1.9043,2.2469,0.9412,1.0707,29.8513,13.0869,1.7337,0.4002,35.7951,0.5084,0.441,41.3287,1.9822,0.2467
TCGA-13-0766,8.2362,6.1069,0.6421,0.7562,55.6621,18.9012,10.5988,0.511,20.3568,1.0851,1.3232,32.516,2.3932,0.4462
TCGA-13-0768,1.9924,3.3589,1.6515,1.0216,10.5415,18.8806,3.685,1.155,28.4662,0.7925,0.4859,39.175,2.289,0.9306
TCGA-13-0795,3.2261,7.079,2.0264,1.8916,15.2397,19.8211,5.2338,1.1936,34.7257,1.4643,0.5043,24.5457,4.4597,0.5303
TCGA-13-0797,14.6163,3.1743,1.7177,1.2883,20.5081,14.3382,7.5907,0.2923,22.3431,0.8192,0.4386,8.8607,3.9802,0.547
TCGA-13-0799,10.7602,3.0604,1.3564,0.9246,13.9566,12.4604,5.9495,1.1968,24.6922,1.5442,0.5542,25.4908,4.8094,1.7821
TCGA-13-0800,3.0659,3.4252,1.1624,0.6967,10.1749,15.3451,2.6864,1.5478,25.5215,2.0108,0.6352,53.4098,3.0117,0.9392
TCGA-13-0801,3.3799,5.3756,0.968,0.9049,31.551,46.1113,6.0408,0.615,23.2382,0.3218,0.8129,6.8974,1.9338,0.7879
TCGA-13-0804,7.2294,4.8104,0.9087,1.2822,23.4905,16.9274,8.4072,0.8984,29.5435,1.8762,0.6771,35.8193,2.3785,1.0394
TCGA-13-0883,4.0489,1.9086,1.8996,0.9043,9.2089,24.8278,2.9553,1.0216,51.8866,2.1208,0.7035,44.6831,3.4723,0.9959
TCGA-13-0884,4.8494,6.3247,1.436,1.2679,13.2944,16.9572,4.8359,1.4808,37.5995,1.1659,0.9419,12.5637,2.4554,1.4663
TCGA-13-0885,5.9309,6.1701,1.5318,0.7587,20.3842,19.7279,7.6602,0.882,43.4631,1.7134,0.5137,5.5272,2.0821,0.8673
TCGA-13-0886,4.0714,3.7719,1.5945,1.2103,21.2401,22.0465,5.1422,0.9842,56.7034,1.1695,0.5485,31.8935,2.0034,1.0672
TCGA-13-0887,6.4982,4.9367,1.168,0.9397,20.2089,18.6162,2.808,0.3595,45.8899,1.4002,1.2347,4.7426,2.2416,0.5285
